job_id,title,company,location,latitude,longitude,salary_min,salary_max,contract_type,description,category,created,redirect_url
4827610788,Data Architect H/F,Safran,"Vélizy-Villacoublay, Versailles",48.78283,2.19001,,,,"Reporting to the Safran Landing Systems Director of IS Architecture and Cloud Factory the Data Architect designs and implements an organization's data architecture and strategy. As part of a digital transformation program initiated by the group, you will BE involved in on the design and support of the construction of the DATA 4.0 environment for Safran Landing Systems. The Data Architect will define architecture to address business goals and outcomes such as the following : - Increasing speed t…",Emplois Fabrication,2024-08-16T05:53:52Z,https://www.adzuna.fr/details/4827610788?utm_medium=api&utm_source=a24f9369
4830814361,DNPJ-DATAI-I Data analyst - Analyste de données,Ministère de l'Intérieur,"Hauts-de-Seine, Ile-de-France",48.82583,2.245857,,,,"Vos missions en quelques mots GROUPE RIFSEEP : 3 Vos activités principales : Les activités principales du titulaire du poste sont les suivantes : - Appui aux métiers pour la bonne compréhension de leur besoin et l'état des lieux de l'existant (irritants) - Exploration, expertise du patrimoine et de la qualité des données disponibles au sein des SI sur les thématiques propres au domaine de l'investigation (création de documentation : représentation des MCD, création de dictionnaires de données) …",Unknown,2024-08-19T00:03:44Z,https://www.adzuna.fr/details/4830814361?utm_medium=api&utm_source=a24f9369
4905469372,Consultant(e) Solution Data Integration (H/F),UpClear,"Paris, Ile-de-France",48.863839,2.344631,51500.0,53500.0,,"UpClear fournit des logiciels aux marques de biens de consommation en pleine croissance, les aidant à planifier et à analyser les volumes, les revenus et la promotion commerciale. Notre logiciel BluePlanner facilite la collaboration, l'efficacité et l'analyse commerciale globale tout au long du processus de distribution. Nous accompagnons des clients à différents stades de croissance en Amérique, en Europe et en Asie. Notre croissance est solide et constante ; nous avons figuré sur la liste Inc…",Emplois Consultants,2024-10-17T20:49:37Z,https://www.adzuna.fr/details/4905469372?utm_medium=api&utm_source=a24f9369
4934711262,Data Architect - Data Platforms,Data Engineer - Lead - Data Platforms,"Paris, Ile-de-France",48.863839,2.344631,,,,"Lenstra was created by the passion of engineers specialised in Computer Science with a proven history in delivering top quality solutions to its customers. Bringing together work excellence and vision we managed to serve top tier clients from a variety of industry domains like Banking/Insurance, Luxury and Tech. We help our clients to solve their most difficult problems around Cloud Computing & DevOps, Data Platform, IT Security by having a holistic approach of their environment and building of…",Emplois Informatique,2024-11-11T15:44:11Z,https://www.adzuna.fr/land/ad/4934711262?se=fvbvFsy37xG2xAqu7IQnaA&utm_medium=api&utm_source=a24f9369&v=0B1A983C24EB5E5729F0CF9C26138A4DA7236D65
4953556824,Stage- Data Scientist (F/H) (Stage),AXA BANQUE,France,,,,,contract,"Poste : Dans le cadre de sa campagne de stage, AXA Banque recrute un Data Scientist (H/F) en Stage. Au sein de l'équipe Date & Reporting, et sous la responsabilité de votre maître de stage, vous participerez aux missions suivantes : Collaboration avec les équipes métiers pour comprendre les besoins et élaborer des solutions basées sur les données. Évaluation de la qualité des données et préparation de jeux de données pour les différents cas d'usage de l'équipe. Exploration et analyse des donnée…",Unknown,2024-11-28T00:09:13Z,https://www.adzuna.fr/land/ad/4953556824?se=fvbvFsy37xG2xAqu7IQnaA&utm_medium=api&utm_source=a24f9369&v=869AD6F13B03AE4015C47EDB1188D1C4579EE157
4858582208,Cloud Engineer H/F,Hardis Group,"Pont-Rousseau, Rezé",47.21684,-1.55674,,,,"Cloud Engineer H/F Champ d'actions et principales responsabilités : GCP, Python, NodeJs, Terraform, Docker, CI/CD, k8S, MicroServices, Event Driven, API first ces mots vous parlent, alors lisez la suite  MISSION Au sein de notre entité Business Applications nantaise et intégré(e) au sein d'une équipe projet, vous contribuez à l'élaboration et l'évolution des couches métiers des applications que nous réalisons pour nos clients. En tant que Cloud Engineer (H/F), vous participez à des projets inno…",Unknown,2024-09-10T06:55:34Z,https://www.adzuna.fr/land/ad/4858582208?se=fvbvFsy37xG2xAqu7IQnaA&utm_medium=api&utm_source=a24f9369&v=C5ADAA063E6CBA79A3B428E49E5C7BB585DABF40
4890046416,Data Analyst Senior (H/F),Extia,"La-Madeleine, Lille",50.63718,3.06302,,,,"Diplômé(e) d'une école d'ingénieurs ou équivalent Bac 5, vous avez 5 ans d'expérience en Data, idéalement dans un contexte Agile/Scrum. Vous serez intégré à une équipe DATA composée de Business Analyst, Data Scientist et Data Engineer. A ce titre, vous interviendrez de façon opérationnelle sur des missions de conseils autour de la transformation Data Analytics. Vos missions : Maitrise de l’écosystème Microsoft Azure Data Factory, Azure Data Lake est un plus Maitrise Technologie autour de la dat…",Unknown,2024-10-05T14:20:36Z,https://www.adzuna.fr/details/4890046416?utm_medium=api&utm_source=a24f9369
4890045293,Data Analyst Confirmé (H/F),Extia,"La-Madeleine, Lille",50.63718,3.06302,,,,"Diplômé(e) d'une école d'ingénieurs ou équivalent Bac 5, vous avez 3 ans d'expérience en Data, idéalement dans un contexte Agile/Scrum. Vous serez intégré à une équipe DATA composée de Business Analyst, Data Scientist et Data Engineer. A ce titre, vous interviendrez de façon opérationnelle sur des missions de conseils autour de la transformation Data Analytics. Vos missions : Maitrise de l’écosystème Microsoft Azure Data Factory, Azure Data Lake est un plus Maitrise Technologie autour de la dat…",Unknown,2024-10-05T14:19:47Z,https://www.adzuna.fr/details/4890045293?utm_medium=api&utm_source=a24f9369
4855796223,CONSULTANT POWER BI - Data Analyst (F/H),Actinvision,"Bas-Rhin, Grand-Est",48.661816,7.642103,,,,"En tant que Consultant.e Data Engineer, vous accompagnerez nos clients dans l’évolution de leurs plateformes et solutions analytiques dans le Cloud, en proposant des approches techniques et méthodologiques innovantes d’intégration et préparation de données. Ces interventions peuvent avoir lieu dans de divers secteurs d’activité, tels qu’agroalimentaire, grande distribution, banque, assurance, luxe, énergie, industrie, pharmaceutique, santé, public… A la suite d’une période d’intégration destiné…",Emplois Consultants,2024-09-07T13:28:14Z,https://www.adzuna.fr/details/4855796223?utm_medium=api&utm_source=a24f9369
4944487865,Product Owner F/H,WEB-TRANSITION,"Lille-Nord, Lille",50.66138,3.0502,38000.0,38000.0,permanent,"En tant que Product Owner vos missions sont de : Piloter la roadmap / performance de la direction en lien fort avec les métiers et les équipes IT, Réaliser les cadrages projets, T'assurer que la direction métier prise est la bonne, les priorités respectées suivant un critère de valeur métier, et que la qualité des livrables de chaque cycle agile est en adéquation avec les attentes du métier, Élaborer la vision du produit, décrire avec le maximum de détails les utilisateurs du produit, Mener une…",Emplois Informatique,2024-11-19T18:08:13Z,https://www.adzuna.fr/details/4944487865?utm_medium=api&utm_source=a24f9369
